Airline,Month,Passengers
02Q,3,25.0
02Q,4,119.0
02Q,6,86.0
04Q,1,3834.0
04Q,2,3740.0
04Q,3,4692.0
04Q,4,3684.0
04Q,5,3957.0
04Q,6,4177.0
04Q,7,6528.0
04Q,8,6749.0
04Q,9,2809.0
04Q,10,2275.0
04Q,11,3575.0
04Q,12,3315.0
07Q,1,0.0
07Q,2,30.0
07Q,3,0.0
07Q,11,1119.0
07Q,12,10776.0
09Q,1,83006.0
09Q,2,75597.0
09Q,3,110481.0
09Q,4,98736.0
09Q,5,98024.0
09Q,6,96034.0
09Q,7,83479.0
09Q,11,115000.0
0BQ,1,26.0
0BQ,2,29.0
0BQ,3,24.0
0BQ,4,4.0
0BQ,5,21.0
0BQ,6,18.0
0BQ,7,13.0
0BQ,8,3.0
0BQ,9,12.0
0BQ,10,11.0
0BQ,11,27.0
0BQ,12,3.0
0CQ,1,2.0
0CQ,2,16.0
0CQ,4,19.0
0CQ,5,9.0
0CQ,6,15.0
0CQ,7,19.0
0CQ,8,3.0
0CQ,9,14.0
0CQ,10,37.0
0CQ,11,22.0
0CQ,12,8.0
0J,1,2.0
0J,6,16.0
0J,8,30.0
0J,12,18.0
0Q,1,8.0
0Q,2,6.0
0Q,3,16.0
0Q,4,9.0
0Q,5,28.0
0Q,6,23.0
0Q,7,4.0
0Q,8,4.0
0Q,9,26.0
0Q,10,27.0
0Q,11,3.0
0Q,12,4.0
0QQ,1,97.0
0QQ,2,57.0
0QQ,3,64.0
0QQ,4,106.0
0QQ,5,14.0
0QQ,6,114.0
0QQ,7,165.0
0QQ,8,84.0
0QQ,9,72.0
0QQ,10,90.0
0QQ,11,81.0
0QQ,12,4.0
0UQ,1,6.0
0UQ,2,6.0
0UQ,5,6.0
0UQ,9,7.0
0UQ,10,23.0
0UQ,11,6.0
0WQ,1,411.0
0WQ,2,414.0
0WQ,3,524.0
0WQ,4,556.0
0WQ,5,285.0
0WQ,6,324.0
0WQ,7,339.0
0WQ,8,277.0
0WQ,9,188.0
0WQ,10,175.0
0WQ,11,199.0
0WQ,12,174.0
10Q,2,3.0
10Q,3,5.0
10Q,4,4.0
10Q,5,8.0
10Q,7,6.0
10Q,9,2.0
10Q,10,3.0
10Q,11,2.0
10Q,12,3.0
12Q,2,5.0
12Q,3,12.0
12Q,4,7.0
12Q,5,3.0
12Q,6,25.0
12Q,8,6.0
12Q,9,19.0
12Q,10,10.0
12Q,11,11.0
12Q,12,1.0
13Q,1,556.0
13Q,2,515.0
13Q,3,599.0
13Q,4,480.0
13Q,5,527.0
13Q,6,511.0
13Q,7,370.0
13Q,8,508.0
13Q,9,437.0
13Q,10,502.0
13Q,11,491.0
13Q,12,439.0
14Q,1,175.0
14Q,2,208.0
14Q,3,232.0
14Q,4,207.0
14Q,5,296.0
14Q,6,184.0
14Q,7,218.0
14Q,8,164.0
14Q,9,223.0
14Q,10,141.0
14Q,11,255.0
14Q,12,312.0
15Q,1,43.0
15Q,2,25.0
15Q,3,38.0
15Q,4,31.0
15Q,5,53.0
15Q,6,28.0
15Q,7,53.0
15Q,8,20.0
15Q,9,39.0
15Q,10,106.0
15Q,11,31.0
15Q,12,53.0
17Q,1,2.0
17Q,2,2.0
17Q,4,4.0
17Q,6,27.0
17Q,10,9.0
17Q,11,26.0
1AQ,1,4286.0
1AQ,2,3971.0
1AQ,3,4376.0
1AQ,4,2640.0
1AQ,5,4619.0
1AQ,6,5716.0
1AQ,7,6553.0
1AQ,8,5300.0
1AQ,9,4110.0
1AQ,10,5626.0
1AQ,11,4517.0
1AQ,12,3105.0
1BQ,1,13505.0
1BQ,2,9523.0
1BQ,3,13241.0
1BQ,4,6960.0
1BQ,5,22051.0
1BQ,6,31834.0
1BQ,7,41169.0
1BQ,8,22334.0
1BQ,9,13056.0
1BQ,10,15428.0
1BQ,11,18442.0
1BQ,12,15478.0
1EQ,1,1304.0
1EQ,2,1532.0
1EQ,3,1541.0
1EQ,4,1263.0
1EQ,5,936.0
1EQ,6,1258.0
1EQ,7,910.0
1EQ,8,802.0
1EQ,9,646.0
1EQ,10,488.0
1EQ,11,1987.0
1EQ,12,1215.0
1HQ,2,16.0
1HQ,7,7.0
1HQ,9,1.0
1HQ,10,25.0
1HQ,11,13.0
1PQ,1,943.0
1PQ,2,841.0
1PQ,3,946.0
1PQ,4,771.0
1PQ,5,873.0
1QQ,1,1311.0
1QQ,2,1631.0
1QQ,3,1845.0
1QQ,4,1892.0
1QQ,5,1057.0
1QQ,6,2005.0
1QQ,7,2023.0
1QQ,8,2135.0
1QQ,9,1859.0
1QQ,10,1975.0
1QQ,11,1927.0
1QQ,12,2320.0
1SQ,1,7400.0
1SQ,2,8273.0
1SQ,3,8181.0
1SQ,4,7523.0
1SQ,5,8855.0
1SQ,6,7919.0
1SQ,7,8856.0
1SQ,8,9523.0
1SQ,9,7347.0
1SQ,10,7316.0
1SQ,11,6493.0
1SQ,12,8489.0
1TQ,1,0.0
1TQ,2,0.0
1TQ,3,0.0
1TQ,4,0.0
1TQ,5,0.0
1TQ,6,0.0
1TQ,7,0.0
1TQ,8,0.0
1TQ,9,0.0
1TQ,10,0.0
1TQ,11,0.0
1TQ,12,0.0
1UQ,1,42.0
1UQ,3,20.0
1UQ,6,15.0
1UQ,7,271.0
1UQ,8,40.0
1UQ,10,41.0
1UQ,12,14.0
1WQ,1,4334.0
1WQ,2,4334.0
1WQ,3,4334.0
1WQ,4,4412.0
1WQ,5,5429.0
1WQ,6,5211.0
1WQ,7,4611.0
1WQ,8,5569.0
1WQ,9,4698.0
1WQ,10,5830.0
1WQ,11,4710.0
1WQ,12,3712.0
1XQ,1,12.0
1XQ,2,6.0
1XQ,3,4.0
1XQ,4,5.0
1XQ,5,8.0
1XQ,6,1.0
1XQ,9,17.0
1XQ,10,16.0
1XQ,11,4.0
1XQ,12,9.0
1YQ,1,40.0
1YQ,2,294.0
1YQ,3,873.0
1YQ,4,753.0
1YQ,5,681.0
1YQ,6,531.0
1YQ,7,736.0
1YQ,8,763.0
1YQ,9,475.0
1YQ,10,231.0
1YQ,11,22.0
1YQ,12,549.0
1ZQ,1,192.0
1ZQ,3,60.0
1ZQ,4,141.0
1ZQ,5,1.0
1ZQ,6,56.0
1ZQ,7,83.0
1ZQ,8,421.0
1ZQ,9,28.0
1ZQ,10,217.0
1ZQ,11,149.0
22Q,1,40.0
22Q,2,40.0
22Q,3,44.0
22Q,4,22.0
22Q,5,47.0
22Q,6,0.0
22Q,7,0.0
22Q,8,0.0
22Q,9,86.0
22Q,10,59.0
22Q,11,44.0
22Q,12,59.0
24Q,1,10.0
24Q,4,2.0
24Q,6,15.0
24Q,7,14.0
24Q,8,27.0
24Q,10,7.0
24Q,11,1.0
24Q,12,3.0
25Q,1,2.0
25Q,4,12.0
25Q,8,69.0
26Q,4,6.0
26Q,7,10.0
26Q,10,11.0
26Q,12,2.0
27Q,1,1427.0
27Q,2,1424.0
27Q,3,1455.0
27Q,4,1484.0
27Q,5,1436.0
27Q,6,1073.0
27Q,7,1221.0
27Q,8,1320.0
27Q,9,1366.0
27Q,11,1233.0
28Q,1,0.0
28Q,2,0.0
28Q,3,0.0
28Q,4,0.0
28Q,5,0.0
28Q,6,0.0
28Q,7,0.0
2AQ,3,15.0
2AQ,4,8.0
2AQ,5,12.0
2AQ,6,16.0
2AQ,7,22.0
2AQ,8,10.0
2AQ,9,36.0
2AQ,11,2.0
2AQ,12,2.0
2E,1,1800.0
2E,2,1720.0
2E,3,2134.0
2E,4,2203.0
2E,5,2558.0
2E,6,2505.0
2E,7,2776.0
2E,8,2625.0
2E,9,2345.0
2E,10,2074.0
2E,11,1878.0
2E,12,1312.0
2EQ,1,36.0
2EQ,2,20.0
2EQ,4,9.0
2EQ,5,67.0
2EQ,6,72.0
2EQ,7,450.0
2F,1,0.0
2GQ,1,0.0
2GQ,2,0.0
2GQ,3,0.0
2GQ,4,0.0
2GQ,7,0.0
2GQ,8,0.0
2GQ,9,0.0
2GQ,10,0.0
2GQ,12,0.0
2HQ,2,4864.0
2HQ,3,7120.0
2HQ,4,8212.0
2HQ,5,4639.0
2HQ,6,4590.0
2HQ,7,4003.0
2HQ,8,3540.0
2HQ,9,1866.0
2HQ,10,2223.0
2HQ,11,2862.0
2HQ,12,2912.0
2JQ,1,9878.0
2JQ,2,10560.0
2JQ,3,13579.0
2JQ,4,14067.0
2JQ,5,13791.0
2JQ,6,13370.0
2JQ,7,17135.0
2JQ,8,18713.0
2JQ,10,20373.0
2KQ,4,17.0
2LQ,1,1571.0
2LQ,2,1402.0
2LQ,4,2148.0
2LQ,10,1377.0
2LQ,11,1775.0
2LQ,12,1824.0
2O,1,983.0
2O,2,900.0
2O,3,1289.0
2O,4,301.0
2O,5,1703.0
2O,6,2171.0
2O,7,2338.0
2O,8,2686.0
2O,9,2317.0
2O,10,1588.0
2O,11,1742.0
2O,12,1366.0
2OQ,1,1968.0
2OQ,2,917.0
2OQ,3,1530.0
2OQ,4,1347.0
2OQ,5,1121.0
2OQ,6,1785.0
2OQ,7,1984.0
2OQ,8,1619.0
2OQ,9,1368.0
2OQ,10,1597.0
2OQ,11,1597.0
2OQ,12,2284.0
2RQ,1,1.0
2RQ,2,13.0
2RQ,3,5.0
2RQ,4,4.0
2RQ,6,8.0
2RQ,7,4.0
2RQ,8,10.0
2RQ,9,9.0
2RQ,12,8.0
2TQ,1,311.0
2TQ,2,227.0
2TQ,3,534.0
2TQ,4,478.0
2TQ,5,492.0
2TQ,6,943.0
2TQ,7,972.0
2TQ,8,697.0
