Airline,Airport,Route_Type,Destination_Region,Passengers
DL,ATL,Domestic,Domestic,33475381.0
AA,DFW,Domestic,Domestic,19787311.0
AA,CLT,Domestic,Domestic,12531987.0
UA,ORD,Domestic,Domestic,10611338.0
WN,MDW,Domestic,Domestic,10212889.0
WN,DEN,Domestic,Domestic,9378930.0
UA,DEN,Domestic,Domestic,9257948.0
WN,LAS,Domestic,Domestic,9163004.0
AS,SEA,Domestic,Domestic,9008460.0
DL,MSP,Domestic,Domestic,8977001.0
WN,BWI,Domestic,Domestic,8846245.0
UA,SFO,Domestic,Domestic,8776020.0
AA,ORD,Domestic,Domestic,8723279.0
UA,IAH,Domestic,Domestic,8531843.0
UA,EWR,Domestic,Domestic,8114687.0
WN,PHX,Domestic,Domestic,7957742.0
WN,DAL,Domestic,Domestic,7715120.0
AA,PHX,Domestic,Domestic,7650126.0
DL,DTW,Domestic,Domestic,7341111.0
AA,MIA,Domestic,Domestic,7285119.0
BA,LHR,International,International,6694044.0
WN,HOU,Domestic,Domestic,6463483.0
AA,PHL,Domestic,Domestic,6303454.0
DL,SLC,Domestic,Domestic,6048388.0
AA,MIA,International,Domestic,5930130.0
AA,LAX,Domestic,Domestic,5762841.0
WN,MCO,Domestic,Domestic,5576253.0
DL,LAX,Domestic,Domestic,5282740.0
B6,JFK,Domestic,Domestic,5263030.0
B6,BOS,Domestic,Domestic,5180134.0
WN,ATL,Domestic,Domestic,5116127.0
OH,CLT,Domestic,Domestic,5105240.0
WN,LAX,Domestic,Domestic,5066453.0
DL,ATL,International,Domestic,5061938.0
WN,STL,Domestic,Domestic,4843575.0
WN,OAK,Domestic,Domestic,4724285.0
WN,SAN,Domestic,Domestic,4704996.0
UA,LAX,Domestic,Domestic,4581172.0
WN,BNA,Domestic,Domestic,4320706.0
DL,JFK,Domestic,Domestic,4313183.0
HA,HNL,Domestic,Domestic,4148387.0
UA,EWR,International,Domestic,4044476.0
DL,SEA,Domestic,Domestic,3704955.0
F9,DEN,Domestic,Domestic,3608599.0
UA,IAD,Domestic,Domestic,3607908.0
WN,TPA,Domestic,Domestic,3517001.0
OO,ORD,Domestic,Domestic,3447136.0
WN,SJC,Domestic,Domestic,3361049.0
AA,BOS,Domestic,Domestic,3266219.0
WN,SMF,Domestic,Domestic,3262442.0
UA,IAH,International,Domestic,3242591.0
WN,FLL,Domestic,Domestic,3192853.0
AA,DFW,International,Domestic,3047763.0
WN,MCI,Domestic,Domestic,3044917.0
B6,FLL,Domestic,Domestic,3040072.0
DL,MCO,Domestic,Domestic,3035640.0
DL,LGA,Domestic,Domestic,2998931.0
AA,LHR,International,International,2900310.0
NK,FLL,Domestic,Domestic,2865845.0
WN,AUS,Domestic,Domestic,2840630.0
AA,DCA,Domestic,Domestic,2815478.0
MQ,ORD,Domestic,Domestic,2712851.0
AA,MCO,Domestic,Domestic,2679127.0
DL,JFK,International,Domestic,2662339.0
WN,ABQ,Domestic,Domestic,2659786.0
AA,LGA,Domestic,Domestic,2612130.0
AS,PDX,Domestic,Domestic,2522635.0
AS,SFO,Domestic,Domestic,2515702.0
B6,MCO,Domestic,Domestic,2475946.0
VS,LHR,International,International,2436158.0
AS,LAX,Domestic,Domestic,2411367.0
WN,MSY,Domestic,Domestic,2409175.0
DL,BOS,Domestic,Domestic,2335767.0
OO,SLC,Domestic,Domestic,2327431.0
OO,MSP,Domestic,Domestic,2324719.0
MQ,DFW,Domestic,Domestic,2305377.0
OO,DEN,Domestic,Domestic,2295223.0
NK,LAS,Domestic,Domestic,2204004.0
UA,SFO,International,Domestic,2186609.0
NK,MCO,Domestic,Domestic,2174783.0
AA,LAS,Domestic,Domestic,2159419.0
UA,LHR,International,International,2135880.0
LH,FRA,International,International,2131338.0
YV,DFW,Domestic,Domestic,2102793.0
AA,JFK,Domestic,Domestic,2049704.0
DL,SFO,Domestic,Domestic,2030372.0
YV,IAH,Domestic,Domestic,2026643.0
DL,LAS,Domestic,Domestic,1989208.0
B6,JFK,International,Domestic,1988899.0
UA,MCO,Domestic,Domestic,1976900.0
WN,BUR,Domestic,Domestic,1976313.0
UA,BOS,Domestic,Domestic,1971190.0
WN,SAT,Domestic,Domestic,1970047.0
UA,ORD,International,Domestic,1968052.0
UA,LAS,Domestic,Domestic,1932434.0
QX,SEA,Domestic,Domestic,1923624.0
OO,SFO,Domestic,Domestic,1896520.0
AA,SFO,Domestic,Domestic,1890009.0
F9,MCO,Domestic,Domestic,1876027.0
WN,SFO,Domestic,Domestic,1862999.0
WN,SNA,Domestic,Domestic,1850411.0
OO,DTW,Domestic,Domestic,1839636.0
CP,LAX,Domestic,Domestic,1807283.0
HA,OGG,Domestic,Domestic,1799653.0
WN,PDX,Domestic,Domestic,1775711.0
AF,CDG,International,International,1770143.0
WN,DCA,Domestic,Domestic,1738182.0
YX,DCA,Domestic,Domestic,1719964.0
AC,YYZ,International,International,1706257.0
AS,ANC,Domestic,Domestic,1697581.0
OO,LAX,Domestic,Domestic,1686092.0
DL,FLL,Domestic,Domestic,1680332.0
DL,TPA,Domestic,Domestic,1672441.0
YX,LGA,Domestic,Domestic,1659005.0
NK,DTW,Domestic,Domestic,1622632.0
DL,DEN,Domestic,Domestic,1603526.0
WN,SEA,Domestic,Domestic,1588268.0
NK,ORD,Domestic,Domestic,1584961.0
AA,TPA,Domestic,Domestic,1582963.0
AA,CLT,International,Domestic,1552807.0
AA,DEN,Domestic,Domestic,1531133.0
WN,MKE,Domestic,Domestic,1505716.0
WN,IND,Domestic,Domestic,1500892.0
UA,SEA,Domestic,Domestic,1490880.0
EK,DXB,International,International,1484152.0
UA,SAN,Domestic,Domestic,1480527.0
UA,IAD,International,Domestic,1475008.0
9E,ATL,Domestic,Domestic,1471379.0
EV,IAH,Domestic,Domestic,1465316.0
WN,CMH,Domestic,Domestic,1459234.0
WN,BOS,Domestic,Domestic,1455728.0
CM,PTY,International,International,1443059.0
DL,AMS,International,International,1426354.0
9E,LGA,Domestic,Domestic,1416048.0
NK,DFW,Domestic,Domestic,1414839.0
YV,IAD,Domestic,Domestic,1410015.0
G4,SFB,Domestic,Domestic,1407527.0
ZW,ORD,Domestic,Domestic,1403208.0
AA,PHL,International,Domestic,1398346.0
DL,DTW,International,Domestic,1396209.0
WN,LGA,Domestic,Domestic,1388389.0
KE,ICN,International,International,1388046.0
WN,ONT,Domestic,Domestic,1387960.0
AA,JFK,International,Domestic,1379297.0
YX,EWR,Domestic,Domestic,1363494.0
B6,LGB,Domestic,Domestic,1361955.0
BA,JFK,International,Domestic,1345073.0
AA,SAN,Domestic,Domestic,1341445.0
AA,AUS,Domestic,Domestic,1334520.0
YV,PHX,Domestic,Domestic,1315829.0
NK,LAX,Domestic,Domestic,1313690.0
B6,FLL,International,Domestic,1288217.0
PT,PHL,Domestic,Domestic,1287105.0
WN,SLC,Domestic,Domestic,1283621.0
AA,ATL,Domestic,Domestic,1271957.0
WN,RDU,Domestic,Domestic,1270647.0
UA,HNL,Domestic,Domestic,1266421.0
QX,PDX,Domestic,Domestic,1264865.0
AA,SEA,Domestic,Domestic,1259659.0
WN,PIT,Domestic,Domestic,1256983.0
9E,JFK,Domestic,Domestic,1252881.0
DL,DCA,Domestic,Domestic,1246022.0
DL,MIA,Domestic,Domestic,1239245.0
DL,PHX,Domestic,Domestic,1216173.0
DL,SAN,Domestic,Domestic,1212855.0
G4,LAS,Domestic,Domestic,1211399.0
NK,BWI,Domestic,Domestic,1196139.0
NK,ATL,Domestic,Domestic,1189110.0
DL,LHR,International,International,1185964.0
B6,SJU,Domestic,Domestic,1176243.0
