Airline,Dest_Airport,Passengers
Delta Air Lines Inc.,ATL,35049728.0
American Airlines Inc.,DFW,21814244.0
American Airlines Inc.,CLT,13853081.0
American Airlines Inc.,MIA,12595599.0
United Air Lines Inc.,ORD,12153983.0
United Air Lines Inc.,EWR,11580362.0
United Air Lines Inc.,IAH,11459058.0
United Air Lines Inc.,SFO,10382658.0
Southwest Airlines Co.,MDW,9994254.0
Delta Air Lines Inc.,MSP,9405337.0
American Airlines Inc.,ORD,9364738.0
Southwest Airlines Co.,DEN,9341831.0
United Air Lines Inc.,DEN,9091011.0
Alaska Airlines Inc.,SEA,9055354.0
Southwest Airlines Co.,LAS,8963047.0
Southwest Airlines Co.,BWI,8697936.0
Delta Air Lines Inc.,DTW,8395710.0
American Airlines Inc.,PHX,8066428.0
Southwest Airlines Co.,PHX,7679236.0
Southwest Airlines Co.,DAL,7493637.0
American Airlines Inc.,PHL,7463574.0
JetBlue Airways,JFK,6949110.0
Southwest Airlines Co.,HOU,6779995.0
Delta Air Lines Inc.,JFK,6703119.0
American Airlines Inc.,LAX,6614983.0
Delta Air Lines Inc.,SLC,6087529.0
Delta Air Lines Inc.,LAX,5962435.0
JetBlue Airways,BOS,5465646.0
Southwest Airlines Co.,MCO,5463188.0
United Air Lines Inc.,LAX,5102202.0
Southwest Airlines Co.,LAX,5100110.0
Southwest Airlines Co.,ATL,5093338.0
United Air Lines Inc.,IAD,4909492.0
Southwest Airlines Co.,STL,4835924.0
Southwest Airlines Co.,OAK,4706163.0
Southwest Airlines Co.,SAN,4685645.0
Hawaiian Airlines Inc.,HNL,4617563.0
JetBlue Airways,FLL,4258226.0
Southwest Airlines Co.,BNA,4236769.0
Delta Air Lines Inc.,SEA,4141351.0
Southwest Airlines Co.,FLL,3770336.0
Spirit Air Lines,FLL,3680718.0
Frontier Airlines Inc.,DEN,3482981.0
Southwest Airlines Co.,TPA,3460497.0
PSA Airlines Inc.,CLT,3415858.0
Southwest Airlines Co.,SJC,3359103.0
British Airways Plc,LHR,3347022.0
American Airlines Inc.,BOS,3279765.0
Southwest Airlines Co.,SMF,3269433.0
Delta Air Lines Inc.,MCO,3177310.0
American Airlines Inc.,JFK,3007541.0
Southwest Airlines Co.,MCI,3003616.0
Delta Air Lines Inc.,LGA,2976503.0
Alaska Airlines Inc.,LAX,2858468.0
Southwest Airlines Co.,AUS,2847908.0
JetBlue Airways,MCO,2825956.0
American Airlines Inc.,DCA,2809059.0
American Airlines Inc.,MCO,2679818.0
SkyWest Airlines Inc.,ORD,2649260.0
Delta Air Lines Inc.,BOS,2639358.0
Alaska Airlines Inc.,SFO,2633506.0
American Airlines Inc.,LGA,2612146.0
Alaska Airlines Inc.,PDX,2547575.0
Southwest Airlines Co.,MSY,2410521.0
Mesa Airlines Inc.,IAH,2349524.0
Spirit Air Lines,LAS,2204004.0
American Airlines Inc.,LAS,2159213.0
Lufthansa German Airlines,FRA,2131338.0
Spirit Air Lines,MCO,2105553.0
Delta Air Lines Inc.,SFO,2030302.0
Delta Air Lines Inc.,LAS,1991979.0
Southwest Airlines Co.,SAT,1981200.0
United Air Lines Inc.,MCO,1976599.0
