Airport,Destination_Region,Month,Passengers
05A,Domestic,2,10.0
05A,Domestic,3,44.0
05A,Domestic,4,18.0
05A,Domestic,5,42.0
05A,Domestic,6,29.0
05A,Domestic,7,40.0
05A,Domestic,8,36.0
05A,Domestic,9,26.0
05A,Domestic,10,9.0
06A,Domestic,5,0.0
06A,Domestic,9,0.0
06A,Domestic,11,0.0
06A,Domestic,12,2.0
09A,Domestic,6,3.0
09A,Domestic,7,4.0
09A,Domestic,8,2.0
09A,Domestic,9,0.0
1B1,Domestic,8,3.0
1G4,Domestic,1,1571.0
1G4,Domestic,2,1546.0
1G4,Domestic,3,2045.0
1G4,Domestic,4,2045.0
1G4,Domestic,5,3873.0
1G4,Domestic,6,2871.0
1G4,Domestic,7,3091.0
1G4,Domestic,8,3265.0
1G4,Domestic,9,2670.0
1G4,Domestic,10,2260.0
1G4,Domestic,11,1509.0
1G4,Domestic,12,1277.0
1TN,Domestic,11,8.0
6B0,Domestic,11,4.0
7AK,Domestic,1,156.0
7AK,Domestic,2,81.0
7AK,Domestic,3,60.0
7AK,Domestic,4,83.0
7AK,Domestic,5,148.0
7AK,Domestic,6,101.0
7AK,Domestic,7,139.0
7AK,Domestic,8,193.0
7AK,Domestic,9,87.0
7AK,Domestic,10,327.0
7AK,Domestic,11,309.0
7AK,Domestic,12,257.0
A01,Domestic,2,0.0
A01,Domestic,9,4.0
A01,Domestic,10,0.0
A03,Domestic,5,1.0
A03,Domestic,6,75.0
A03,Domestic,7,82.0
A03,Domestic,8,89.0
A03,Domestic,9,23.0
A04,Domestic,9,0.0
A04,Domestic,10,5.0
A04,Domestic,11,0.0
A1K,Domestic,1,0.0
A1K,Domestic,7,11.0
A1K,Domestic,8,1.0
A1K,Domestic,9,0.0
A1K,Domestic,10,0.0
A1K,Domestic,11,0.0
A1K,Domestic,12,0.0
A1L,Domestic,6,0.0
A20,Domestic,1,0.0
A20,Domestic,4,0.0
A20,Domestic,5,0.0
A20,Domestic,6,0.0
A20,Domestic,7,0.0
A20,Domestic,8,0.0
A20,Domestic,9,0.0
A20,Domestic,10,0.0
A20,Domestic,11,0.0
A20,Domestic,12,0.0
A26,Domestic,7,11.0
A26,Domestic,8,3.0
A26,Domestic,9,4.0
A26,Domestic,10,1.0
A27,Domestic,1,5.0
A27,Domestic,2,1.0
A27,Domestic,3,5.0
A27,Domestic,4,4.0
A27,Domestic,5,8.0
A27,Domestic,6,3.0
A27,Domestic,7,4.0
A27,Domestic,8,2.0
A27,Domestic,9,3.0
A27,Domestic,10,4.0
A27,Domestic,11,2.0
A27,Domestic,12,4.0
A29,Domestic,1,3.0
A29,Domestic,5,3.0
A29,Domestic,6,21.0
A29,Domestic,7,25.0
A29,Domestic,8,19.0
A29,Domestic,9,6.0
A29,Domestic,10,7.0
A29,Domestic,11,4.0
A29,Domestic,12,10.0
A2L,Domestic,6,6.0
A30,Domestic,12,0.0
A34,Domestic,9,1.0
A34,Domestic,10,11.0
A37,Domestic,7,10.0
A37,Domestic,8,0.0
A43,Domestic,1,21.0
A43,Domestic,2,17.0
A43,Domestic,3,13.0
A43,Domestic,4,5.0
A43,Domestic,5,43.0
A43,Domestic,6,94.0
A43,Domestic,7,156.0
A43,Domestic,8,136.0
A43,Domestic,9,74.0
A43,Domestic,10,31.0
A43,Domestic,11,65.0
A43,Domestic,12,59.0
A50,Domestic,7,0.0
A50,Domestic,8,2.0
A51,Domestic,10,0.0
A52,Domestic,7,85.0
A52,Domestic,8,86.0
A52,Domestic,9,22.0
A63,Domestic,6,8.0
A63,Domestic,7,0.0
A63,Domestic,9,2.0
