Airport,Origin,Passengers
AAO,TEB,2.0
ABI,AMA,50.0
ABI,AUS,0.0
ABI,BJX,62.0
ABI,BPT,73.0
ABI,BTR,52.0
ABI,CHS,73.0
ABI,CLT,124.0
ABI,DEN,212.0
ABI,DFW,74279.0
ABI,DSM,94.0
ABI,ENV,394.0
ABI,GDL,61.0
ABI,GEG,118.0
ABI,IAH,233.0
ABI,IND,138.0
ABI,JAN,48.0
ABI,JFK,134.0
ABI,LAS,132.0
ABI,LAX,86.0
ABI,LBB,0.0
ABI,LFT,51.0
ABI,LRD,81.0
ABI,MCI,61.0
ABI,MEM,67.0
ABI,MSN,64.0
ABI,MSP,100.0
ABI,MTY,170.0
ABI,NAS,128.0
ABI,ORD,158.0
ABI,PHL,99.0
ABI,PHX,114.0
ABI,PNS,73.0
ABI,PSP,149.0
ABI,QRO,145.0
ABI,SAT,144.0
ABI,SEA,309.0
ABI,SFO,60.0
ABI,SJC,153.0
ABI,SJT,36.0
ABI,SLC,220.0
ABI,SNA,147.0
ABI,TRC,31.0
ABI,TUL,0.0
ABI,YYC,144.0
ABQ,ABQ,22.0
ABQ,AEX,15.0
ABQ,AMA,157.0
ABQ,ATL,133990.0
ABQ,AUS,49084.0
ABQ,BNA,465.0
ABQ,BOI,367.0
ABQ,BOS,567.0
ABQ,BUF,166.0
ABQ,BUR,994.0
ABQ,BWI,74067.0
ABQ,CLE,141.0
ABQ,CLT,692.0
ABQ,CNM,3038.0
ABQ,COS,146.0
ABQ,CUN,308.0
ABQ,CVG,208.0
ABQ,CYS,138.0
ABQ,DAL,190543.0
ABQ,DEN,294131.0
ABQ,DFW,287698.0
ABQ,DPA,4.0
ABQ,DRO,0.0
ABQ,DSM,0.0
ABQ,DTW,312.0
ABQ,ELP,1152.0
ABQ,ENV,447.0
ABQ,EWR,582.0
ABQ,FAT,142.0
ABQ,FLL,284.0
ABQ,FMN,0.0
ABQ,GDL,624.0
ABQ,GEG,130.0
ABQ,HOU,115137.0
ABQ,IAD,463.0
ABQ,IAH,84265.0
ABQ,IND,124.0
ABQ,JAX,273.0
ABQ,JFK,40901.0
ABQ,LAS,166267.0
ABQ,LAX,185873.0
ABQ,LBB,271.0
ABQ,LGA,130.0
ABQ,LIT,43.0
ABQ,LRD,0.0
ABQ,MAF,127.0
ABQ,MCI,43332.0
ABQ,MCN,0.0
ABQ,MCO,17145.0
ABQ,MDW,92021.0
ABQ,MEM,0.0
ABQ,MIA,429.0
ABQ,MSN,153.0
ABQ,MSP,28219.0
ABQ,MSY,72.0
ABQ,OAK,89827.0
ABQ,OKC,185.0
ABQ,OMA,134.0
ABQ,ONT,142.0
ABQ,ORD,115181.0
ABQ,PDX,36368.0
ABQ,PHL,842.0
ABQ,PHX,327011.0
ABQ,PIT,121.0
ABQ,PSP,164.0
ABQ,RDU,466.0
ABQ,RNO,143.0
ABQ,ROW,123.0
ABQ,SAF,201.0
ABQ,SAN,95127.0
ABQ,SAT,1665.0
ABQ,SEA,62230.0
ABQ,SFO,61086.0
ABQ,SJC,6193.0
ABQ,SLC,76254.0
ABQ,SMF,776.0
ABQ,SNA,23410.0
ABQ,STL,300.0
ABQ,TPA,460.0
ABQ,TUL,119.0
ABQ,TUS,360.0
ABQ,YUL,8.0
ACA,DPA,3.0
ACA,DTW,181.0
ACA,FLL,139.0
ACA,IAD,104.0
ACA,IAH,5338.0
ACA,JFK,466.0
ACA,LAX,879.0
ACA,ORD,131.0
ACA,SEA,294.0
ACA,SFO,454.0
ACC,AEX,141.0
ACC,IAD,41653.0
ACC,IAH,0.0
ACC,JFK,42196.0
ACK,ACY,3.0
ACK,BDL,11.0
ACK,BDR,25.0
ACK,BED,43.0
ACK,BOS,37428.0
ACK,BTV,2.0
ACK,CLT,511.0
ACK,DCA,10823.0
ACK,EWR,7332.0
ACK,FOK,13.0
ACK,HPN,4354.0
ACK,IAH,0.0
ACK,ILM,0.0
ACK,JFK,32949.0
ACK,LGA,6060.0
ACK,PVD,189.0
ACK,ROC,0.0
ACK,TEB,2292.0
ACT,ABI,40.0
ACT,AGU,45.0
ACT,AMA,75.0
ACT,ATL,0.0
ACT,BTR,41.0
ACT,CHS,34.0
ACT,CLL,49.0
ACT,DFW,51508.0
ACT,DSM,167.0
ACT,ENV,290.0
ACT,FOE,56.0
ACT,GCK,24.0
ACT,GRR,44.0
ACT,IAH,1.0
