Airline,Origin_Dest,Plane_Type_Text,Passengers,Airport 1,Airport 2
BA,JFK_LHR,Boeing 747-400,1980000.0,JFK,LHR
HA,HNL_OGG,Boeing 717-200,1954139.0,HNL,OGG
DL,ATL_MCO,Boeing 757-200,1417832.0,ATL,MCO
HA,HNL_KOA,Boeing 717-200,1281221.0,HNL,KOA
WN,DAL_HOU,Boeing 737-700/700LR/Max 7,1260362.0,DAL,HOU
AA,DFW_LAX,Airbus Industrie A321/Lr,1257512.0,DFW,LAX
HA,HNL_LIH,Boeing 717-200,1239437.0,HNL,LIH
AA,LGA_ORD,Boeing 737-800,1228213.0,LGA,ORD
DL,ATL_BOS,Airbus Industrie A321/Lr,1188762.0,ATL,BOS
AS,ANC_SEA,Boeing 737-900ER,1083602.0,ANC,SEA
UA,EWR_SFO,Boeing 757-200,1059545.0,EWR,SFO
DL,ATL_DCA,Airbus Industrie A321/Lr,1020665.0,ATL,DCA
AA,DFW_LAS,Airbus Industrie A321/Lr,1015022.0,DFW,LAS
HA,HNL_ITO,Boeing 717-200,1007309.0,HNL,ITO
B6,JFK_LAX,Airbus Industrie A321/Lr,995699.0,JFK,LAX
AA,DFW_PHX,Airbus Industrie A321/Lr,976389.0,DFW,PHX
UA,EWR_LAX,Boeing 757-200,968121.0,EWR,LAX
AA,CLT_MCO,Airbus Industrie A321/Lr,939162.0,CLT,MCO
DL,ATL_FLL,Boeing 757-200,937273.0,ATL,FLL
AA,DFW_LHR,Boeing 777-300/300ER/333ER,913068.0,DFW,LHR
AA,DFW_LGA,Airbus Industrie A321/Lr,912356.0,DFW,LGA
AA,DFW_SFO,Airbus Industrie A321/Lr,909420.0,DFW,SFO
UA,EWR_LHR,Boeing 767-400/ER,907072.0,EWR,LHR
AA,CLT_PHX,Airbus Industrie A321/Lr,895991.0,CLT,PHX
DL,ATL_LGA,Airbus Industrie A321/Lr,886184.0,ATL,LGA
AA,LAX_ORD,Airbus Industrie A321/Lr,881930.0,LAX,ORD
AA,DFW_SAN,Airbus Industrie A321/Lr,876055.0,DFW,SAN
AA,DFW_MCO,Airbus Industrie A321/Lr,872876.0,DFW,MCO
VS,JFK_LHR,Airbus Industrie A330-300,853426.0,JFK,LHR
AA,LHR_ORD,B787-800 Dreamliner,853020.0,LHR,ORD
AA,ABQ_DFW,Boeing 737-800,841680.0,ABQ,DFW
BA,LAX_LHR,Airbus Industrie A380-800,838432.0,LAX,LHR
AA,ORD_PHX,Airbus Industrie A321/Lr,836216.0,ORD,PHX
WN,ABQ_PHX,Boeing 737-700/700LR/Max 7,835852.0,ABQ,PHX
WN,BUR_OAK,Boeing 737-700/700LR/Max 7,818850.0,BUR,OAK
AA,CLT_DFW,Airbus Industrie A321/Lr,811957.0,CLT,DFW
DL,ATL_CHS,McDonnell Douglas DC9 Super 80/MD81/82/83/88,782533.0,ATL,CHS
AA,DFW_SNA,Boeing 737-800,782229.0,DFW,SNA
WN,LAX_OAK,Boeing 737-700/700LR/Max 7,778290.0,LAX,OAK
PR,LAX_MNL,Boeing 777-200ER/200LR/233LR,769190.0,LAX,MNL
AA,BOS_ORD,Boeing 737-800,768885.0,BOS,ORD
WN,LAS_LAX,Boeing 737-700/700LR/Max 7,752252.0,LAS,LAX
AA,JFK_LAX,Airbus Industrie A321/Lr,743103.0,JFK,LAX
B6,JFK_MCO,Airbus Industrie A321/Lr,741708.0,JFK,MCO
WN,OAK_SAN,Boeing 737-700/700LR/Max 7,740202.0,OAK,SAN
DL,ATL_MEM,McDonnell Douglas DC9 Super 80/MD81/82/83/88,738945.0,ATL,MEM
WN,SJC_SNA,Boeing 737-700/700LR/Max 7,736400.0,SJC,SNA
VS,LAX_LHR,B787-900 Dreamliner,730904.0,LAX,LHR
UA,LAX_ORD,Boeing 757-300,724098.0,LAX,ORD
DL,ATL_BNA,McDonnell Douglas DC9 Super 80/MD81/82/83/88,723267.0,ATL,BNA
DL,ATL_RDU,McDonnell Douglas DC9 Super 80/MD81/82/83/88,717229.0,ATL,RDU
AA,CLT_LAX,Airbus Industrie A321/Lr,704553.0,CLT,LAX
B6,FLL_JFK,Airbus Industrie A321/Lr,702856.0,FLL,JFK
DL,ATL_BWI,McDonnell Douglas DC9 Super 80/MD81/82/83/88,699637.0,ATL,BWI
AA,DFW_SEA,Airbus Industrie A321/Lr,697716.0,DFW,SEA
WN,SAN_SJC,Boeing 737-700/700LR/Max 7,694403.0,SAN,SJC
AA,LAX_MIA,Airbus Industrie A321/Lr,694123.0,LAX,MIA
AS,SEA_SNA,Boeing 737-800,692862.0,SEA,SNA
WN,ABQ_DAL,Boeing 737-700/700LR/Max 7,691552.0,ABQ,DAL
BA,LHR_MIA,Boeing 747-400,689750.0,LHR,MIA
WN,PHX_SAN,Boeing 737-700/700LR/Max 7,688656.0,PHX,SAN
WN,LAX_SJC,Boeing 737-700/700LR/Max 7,679304.0,LAX,SJC
WN,LAS_SAN,Boeing 737-700/700LR/Max 7,677914.0,LAS,SAN
AC,LGA_YYZ,Airbus Industrie A320-100/200,676005.0,LGA,YYZ
EK,DXB_JFK,Airbus Industrie A380-800,670257.0,DXB,JFK
DL,ATL_JAX,Boeing 757-200,667604.0,ATL,JAX
AA,DFW_ORD,Boeing 737-800,664800.0,DFW,ORD
WN,DAL_SAT,Boeing 737-700/700LR/Max 7,662540.0,DAL,SAT
WN,LAS_RNO,Boeing 737-700/700LR/Max 7,660183.0,LAS,RNO
DL,ATL_PHL,McDonnell Douglas DC9 Super 80/MD81/82/83/88,658582.0,ATL,PHL
AA,CLT_LGA,Airbus Industrie A321/Lr,655781.0,CLT,LGA
WN,AUS_DAL,Boeing 737-700/700LR/Max 7,654576.0,AUS,DAL
