Airport,Airline,Route_Type,Passengers
ATL,AA,Domestic,1271957.0
ATL,AA,International,399.0
ATL,DL,Domestic,33475381.0
ATL,DL,International,5061938.0
ATL,UA,Domestic,566861.0
ATL,WN,Domestic,5116127.0
ATL,WN,International,89823.0
DFW,AA,Domestic,19787311.0
DFW,AA,International,3047763.0
DFW,DL,Domestic,816340.0
DFW,DL,International,13.0
DFW,UA,Domestic,761181.0
DFW,UA,International,604.0
DFW,WN,Domestic,234.0
JFK,AA,Domestic,2049704.0
JFK,AA,International,1379297.0
JFK,DL,Domestic,4313183.0
JFK,DL,International,2662339.0
JFK,UA,Domestic,92.0
JFK,UA,International,215.0
LAX,AA,Domestic,5762841.0
LAX,AA,International,1086654.0
LAX,DL,Domestic,5282740.0
LAX,DL,International,768683.0
LAX,UA,Domestic,4581172.0
LAX,UA,International,665789.0
LAX,WN,Domestic,5066453.0
LAX,WN,International,125155.0
ORD,AA,Domestic,8723279.0
ORD,AA,International,1011415.0
ORD,DL,Domestic,1045269.0
ORD,DL,International,47.0
ORD,UA,Domestic,10611338.0
ORD,UA,International,1968052.0
ORD,WN,International,129.0
