Airline,Route_Type,Passengers,Rank
WN,Domestic,166054984.0,1
WN,International,4641385.0,1
DL,Domestic,127486190.0,2
DL,International,26520791.0,2
AA,Domestic,120509970.0,3
AA,International,32279729.0,3
UA,Domestic,86631450.0,4
UA,International,29629638.0,4
B6,Domestic,34070233.0,5
B6,International,8538760.0,5
OO,Domestic,37848048.0,6
OO,International,1528982.0,6
AS,Domestic,32123740.0,7
AS,International,2020492.0,7
NK,Domestic,26909302.0,8
NK,International,2364078.0,8
F9,Domestic,19165187.0,9
F9,International,767074.0,9
YX,Domestic,17670718.0,10
YX,International,1070981.0,10
YV,Domestic,13239811.0,11
YV,International,1423223.0,11
BA,Domestic,8283.0,12
BA,International,14176402.0,12
G4,Domestic,13856541.0,13
G4,International,48083.0,13
9E,Domestic,12850915.0,14
9E,International,965148.0,14
MQ,Domestic,12495389.0,15
MQ,International,1215456.0,15
OH,Domestic,13455039.0,16
OH,International,185451.0,16
HA,Domestic,10319056.0,17
HA,International,1318472.0,17
EV,Domestic,8459344.0,18
EV,International,835236.0,18
QX,Domestic,6738274.0,19
QX,International,673937.0,19
CP,Domestic,6022882.0,20
CP,International,646138.0,20
