Airport,Route_Type,Passengers,Rank
ATL,Domestic,46292899.0,1
ATL,International,6518965.0,1
LAX,Domestic,30439363.0,2
LAX,International,13927347.0,2
ORD,Domestic,33415706.0,3
ORD,International,7389146.0,3
DFW,Domestic,29020269.0,4
DFW,International,4577474.0,4
JFK,Domestic,14279281.0,5
JFK,International,18371159.0,5
DEN,Domestic,30528670.0,6
DEN,International,1620113.0,6
SFO,Domestic,21191121.0,7
SFO,International,7785713.0,7
LAS,Domestic,22376041.0,8
LAS,International,2016092.0,8
SEA,Domestic,21523980.0,9
SEA,International,2831062.0,9
MCO,Domestic,20276786.0,10
MCO,International,3261993.0,10
EWR,Domestic,15951410.0,11
EWR,International,7384671.0,11
CLT,Domestic,20817097.0,12
CLT,International,1785482.0,12
PHX,Domestic,21204003.0,13
PHX,International,1194299.0,13
MIA,Domestic,10578179.0,14
MIA,International,11413572.0,14
IAH,Domestic,16129241.0,15
IAH,International,5545207.0,15
BOS,Domestic,16505209.0,16
BOS,International,4057572.0,16
MSP,Domestic,17067993.0,17
MSP,International,1554376.0,17
FLL,Domestic,13509802.0,18
FLL,International,4398074.0,18
DTW,Domestic,15657697.0,19
DTW,International,1968908.0,19
PHL,Domestic,13443604.0,20
PHL,International,2166977.0,20
